Set,Onderwerp,Subcategorie,Type,Vraag,Antwoord,Alternatief 1,Alternatief 2,Alternatief 3
,Management Accounting,Cashflows,MC,Welke van de volgende items is geen cashflow?,Afschrijvingskosten,Schuldaflossing,Interestkosten,Betaling van een boete
,Finance,Contante waarde,MC,"Een bedrijf verwacht over een jaar 100.000 EUR te ontvangen. Dit bedrag is gegarandeerd. Als de rentevoet 8% per annum bedraagt, dan is het maximale bedrag dat het bedrijf nu kan uitgeven gelijk aan:",92.593 EUR,92.000 EUR,108.000 EUR,8.000 EUR
,Finance,Contante waarde,MC,"Een bedrijf verwacht over twee jaar een betaling van een klant ter hoogte van 121.000 EUR te ontvangen. Dit bedrag is gegarandeerd. Als de rentevoet 10% per annum bedraagt, dan is het maximale bedrag dat het bedrijf nu kan uitgeven gelijk aan:",100.000 EUR,96.800EUR,146.410 EUR,145.200 EUR
,Finance,Cost of equity,MC,"Als de risicovrije rentevoet 2% bedraagt, de premie voor marktrisico op 8% wordt gesteld en de beta van een bedrijf 1.25 is, dan is de is de beste schatting van het vereist rendement op het eigen vermogen:",12%,10%,8%,6%
,Finance,Cost of equity,MC,De risicopremie in de CAPM is een vergoeding voor:,het systematisch risico van een belegging,het onsystematisch risico van een belegging,het renterisico van een lening,het algemene investeringsrisico
,Finance,Derivaten,MC,Het recht om een gegeven activum te verkopen tegen een vooraf vastgestelde prijs aan het einde van of gedurende een bepaalde periode is een:,put optie,call optie,future,swap
1,Financial Accounting,Kengetallen,MC,Ebit is gelijk aan:,omzet min kosten (exclusief de financieringskosten),omzet min alle kosten,omzet min kosten en belastingen,omzet min kosten (exclusief afschrijvingen)
1,Financial Accounting,Kengetallen,MC,Onderneming A neemt onderneming B over. De activa van B zijn getaxeerd op een marktwaarde van 400.000 EUR en een boekwaarde van 300.000 EUR. De debt ratio van B (o.b.v. boekwaarde) bedraagt 50%. Alle aandelen van B zullen door A worden overgenomen voor een bedrag van 450.000 EUR. Bereken hoeveel Goodwill A betaalt bij de overname.,200.000 EUR,300.000 EUR,225.000 EUR,50.000 EUR
1,Financial Accounting,Kengetallen,MC,Aan welke verslaggevingsnorm dient een bedrijf te voldoen dat zowel in Duitsland als in de Verenigde Staten een beursnotering heeft?,IFRS,US GAAP,German GAAP,FASB
1,Financial Accounting,Kengetallen,MC,"Als de RTV 8%, de KVV 4%, de debt ratio 50% en de belastingvoet 25% bedraagt, dan is de REV gelijk aan (HINT - hefboomformule):",9%,4%,7.50%,1.50%
1,Financial Accounting,Kengetallen,MC,"Van een bedrijf zijn volgende kengetallen bekend: nettowinstmarge is 3%, de verhouding VV/EV is 1.5 en de omzetsnelheid van het totale vermogen bedraagt 2. In dat geval is de REV (HINT - p.455 Heezen):",15%,33%,9%,4%
1,Financial Accounting,Kengetallen,MC,Welk overzicht gebruikt een organisatie voor de bepaling van de behoefte aan externe financiering?,liquiditeitsbegroting,winst-en-verliesrekening,resultatenbegroting,balans
1,Financial Accounting,Kengetallen,Open,Een bedrijf heeft 60.000 EUR geinvesteerd in vlottende activa en een vermogen van 100.000 EUR waarvan 50% uit kort vreemd vermogen bestaat. In dit geval is de current ratio:,"(1[.,]20*?)",,,
1,Financial Accounting,Kengetallen,Open,Welke verslaggevingsfunctie moet volgens de normen van IFRS of GAAP worden uitgevoerd?,[Vv]erantwoording|[Ee]xtern,,,
1,Financial Accounting,Kengetallen,Open,Een bedrijf heeft een debt ratio van 60%. In dat geval bedraagt de verhouding VV / EV:,"(1[.,]50*?)|^3/2$|^1 1/2$","0,4","0,6",1
1,Financial Accounting,Kengetallen,Open,Welke organisatie verleent in Nederland de vergunningen aan accountantsorganisaties?,[Aa][Ff][Mm]|[Aa]utoriteit [Ff]inanc[a-z]+ [Mm]arkten,,,
1,Financial Accounting,Kengetallen,Open,Welke dienstverlening zorgt er voor dat de gemiddelde betaaltermijn van het debiteurensaldo verminderd?,[Ff]actoring,,,
1,Financial Accounting,Kengetallen,Open,Een gemeente heeft in de jaren voor 2007 grote hoeveelheden grond aangekocht om deze later door te verkopen aan projectontwikkelaars. Door de kredietcrisis zijn echter veel bouwprojecten uitgesteld en is de vraag naar bouwkavels opgedroogd. Daardoor is de waarde van de grond sterk gedaald en in sommige gevallen zelfs gehalveerd. De gemeente waardeert de grond echter nog steeds tegen aanschafwaarde welk beginsel wordt hiermee door de gemeente geschonden?,[Vv]oorzichtigheid|[Tt]oerekening|[Rr]ealisatie,,,
2,Financial Accounting,Kengetallen,MC,Onder welke soort activa vallen leningen aan dochtermaatschappijen?,Financiele activa,Immateriele activa,Liquide middelen,Debiteuren
